사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2021-12-01,2호선,47,당산,33,1,"6,204","2,739","15,642","11,683","41,865","27,267","52,484","72,955","31,147","34,559","21,263","17,998","20,565","17,021","21,870","19,248","21,765","21,201","20,810","21,647","23,523","24,922","26,462","29,867","38,959","41,984","57,587","70,290","24,658","45,204","19,737","28,624","21,067","35,113","12,875","22,748","4,487","13,454",8,625,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,48,합정,48,3,"6,768","2,708","16,404","12,630","40,323","31,212","53,876","91,306","34,317","78,731","25,200","43,329","26,061","43,101","32,144","47,542","36,307","52,284","39,510","49,461","43,758","50,610","52,219","57,566","71,194","75,207","110,703","103,660","69,904","65,787","59,792","32,779","77,020","32,722","45,460","22,895","15,568","14,276",20,694,0,0,2,1,0,0,2022-01-03 10:00
2021-12-01,2호선,49,홍대입구,404,13,"13,308","2,912","20,697","13,805","55,295","33,292","72,226","99,073","46,375","109,087","35,300","75,245","43,361","88,158","54,068","111,465","63,353","123,082","71,754","122,840","88,655","125,135","111,270","129,759","140,560","150,298","165,930","183,073","128,063","115,007","142,561","56,861","186,155","51,687","108,336","35,568","34,231","23,049",251,"3,673",0,1,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,50,신촌,35,5,"4,925","2,196","11,877","13,058","31,925","29,916","46,498","73,489","32,407","77,366","30,774","51,845","37,432","47,943","47,335","53,201","47,871","61,050","51,053","56,115","59,174","53,030","70,229","56,472","86,731","72,725","82,033","96,777","57,168","59,789","64,471","32,904","71,340","35,766","47,276","24,008","15,032","13,772",12,149,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,51,이대,29,0,"2,736",789,"7,403","7,266","22,540","11,002","31,409","34,452","18,003","28,833","13,459","20,654","15,107","16,224","20,559","19,710","20,074","22,388","19,879","19,349","22,838","19,826","26,771","20,798","36,392","25,753","31,737","36,648","18,846","25,822","15,439","16,383","15,108","20,035","10,657","14,221","3,017","8,730",1,82,1,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,52,아현,27,0,"3,806",993,"9,745","6,083","25,723","11,071","37,003","18,965","21,010","11,671","14,988","9,606","14,022","9,359","15,477","10,875","14,875","12,307","13,867","12,711","16,037","15,416","19,180","16,836","19,047","21,986","18,309","31,566","10,494","23,307","7,457","15,443","6,406","17,717","3,856","11,792","1,239","6,021",0,25,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,53,충정로(경기대입구),12,1,"2,818","1,022","5,809","6,293","14,474","18,878","21,275","59,009","13,202","27,490","9,998","12,447","10,689","9,919","11,698","9,805","12,561","11,329","12,662","10,532","13,586","11,150","16,615","12,463","27,311","15,283","45,588","21,240","13,090","14,058","9,652","9,121","9,821","11,189","5,089","7,423","1,615","4,399",0,142,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,54,용답,5,1,"2,418",175,"2,910",797,"7,103","1,697","12,705","3,500","7,008","2,498","4,387","2,353","3,841","2,592","4,305","2,985","4,349","3,319","4,057","3,475","3,783","4,219","4,293","5,523","4,415","6,492","3,767","10,167","2,107","7,022","1,384","4,566","1,100","6,258",933,"4,583",328,"2,540",0,1,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,55,신답,6,0,861,121,"1,637",518,"6,186",928,"10,121","1,848","4,821","1,007","2,200","1,095","1,801","1,203","2,002","1,363","1,855","1,548","1,702","1,631","1,633","2,592","1,690","3,390","2,009","4,560","2,227","9,530",878,"6,556",548,"3,166",481,"4,059",434,"2,466",108,"1,582",0,5,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,56,신설동,36,1,"1,104",211,"1,190","1,654","3,826","5,137","6,919","12,098","4,206","8,686","3,648","6,805","4,379","6,677","5,621","6,607","6,510","6,756","6,983","6,010","8,361","5,381","8,624","4,289","10,302","5,180","11,617","6,034","4,286","4,170","2,743","2,922","2,421","3,029","1,384","2,116",438,"1,335",0,130,0,0,0,0,0,0,2022-01-03 10:00
